1,,,,,
,,,,,
,t 9090,,MHEuCEor,Br191,
,0909s,E. Eebra-onand,,,
,09093,E. Cynosbatella,,1816191,
,G30,,,,
,09095,,,,
,G9096,,,,
,09599,,,,
,8909,,,,
,09099,heiraphera rasoburpianae,,,
,t 91400d,,,,
,0920s,,,,
,d9102,Epinalid mercuriasa,,,
Al,G91093,Eetraphera ingertana,,,
y3l,691ol,,,,
,00210s,,,,
,092106,,,,
,G9109,,,,
,0910s,,,,
,03199 8921n,Epinotian Erimaculona,,,
,ore,,,,
,0112,,,,
,09113,,,,
,691sl,,,,
,6945,,,,
,G9116,Bactra TuFfurana,,,
83l,091n,,,,
,aGH118,,,,
,G9119,,,,
,09120,Epiblema pthgiana,,,
,0912.2,t costipuncana,,,
,89123,,,,
,0912,,,,
,89125,,,,
,09126,Epinotion subocellana,,,
,8912,,,,
,0128,,,,
,09129,,,,
,09130,.. Eenerana,,,
,09131,,,,
,091 32,,,,
,0939,,,,
,,,,,
,,,,,
